날짜,BPS,PER,PBR,EPS,DIV,DPS,symbol
2021-05-31,745,0.0,3.88,0,0.0,0,060310
2021-06-30,745,0.0,3.92,0,0.0,0,060310
2021-07-31,745,0.0,4.12,0,0.0,0,060310
2021-08-31,745,0.0,5.15,0,0.0,0,060310
2021-09-30,745,0.0,4.68,0,0.0,0,060310
2021-10-31,792,247.5,5.0,16,0.0,0,060310
2021-11-30,792,256.88,5.19,16,0.0,0,060310
2021-12-31,792,217.19,4.39,16,0.0,0,060310
2022-01-31,792,206.25,4.17,16,0.0,0,060310
2022-02-28,792,183.13,3.7,16,0.0,0,060310
2022-03-31,792,200.0,4.04,16,0.0,0,060310
2022-04-30,792,226.56,4.58,16,0.0,0,060310
2022-05-31,792,203.13,4.1,16,0.0,0,060310
2021-05-31,6089,0.0,0.97,0,3.55,210,095570
2021-06-30,6089,0.0,0.95,0,3.63,210,095570
2021-07-31,6089,0.0,0.99,0,3.5,210,095570
2021-08-31,6089,0.0,0.99,0,3.5,210,095570
2021-09-30,6089,0.0,0.98,0,3.51,210,095570
2021-10-31,6089,0.0,0.95,0,3.64,210,095570
2021-11-30,6089,0.0,0.91,0,3.79,210,095570
2021-12-31,6089,0.0,0.88,0,3.9,210,095570
2022-01-31,6089,0.0,0.87,0,3.95,210,095570
2022-02-28,6089,0.0,0.83,0,4.16,210,095570
2022-03-31,6089,0.0,0.9,0,3.83,210,095570
2022-04-30,6089,0.0,1.12,0,3.09,210,095570
2022-05-31,8075,3.9,0.82,1707,4.06,270,095570
2021-05-31,50471,0.0,0.7,0,1.13,400,006840
2021-06-30,50471,0.0,0.68,0,1.16,400,006840
2021-07-31,50471,0.0,0.65,0,1.22,400,006840
2021-08-31,50471,0.0,0.54,0,1.47,400,006840
2021-09-30,50471,0.0,0.54,0,1.45,400,006840
2021-10-31,50471,0.0,0.53,0,1.49,400,006840
2021-11-30,50471,0.0,0.52,0,1.52,400,006840
2021-12-31,50471,0.0,0.38,0,2.1,400,006840
2022-01-31,50471,0.0,0.39,0,2.05,400,006840
2022-02-28,50471,0.0,0.35,0,2.25,400,006840
2022-03-31,50471,0.0,0.41,0,1.93,400,006840
2022-04-30,50471,0.0,0.45,0,1.75,400,006840
2022-05-31,45961,0.0,0.46,0,0.94,200,006840
2021-05-31,8135,0.0,1.79,0,0.0,0,054620
2021-06-30,8135,0.0,1.84,0,0.0,0,054620
2021-07-31,8135,0.0,1.95,0,0.0,0,054620
2021-08-31,8135,0.0,2.44,0,0.0,0,054620
2021-09-30,8135,0.0,2.36,0,0.0,0,054620
2021-10-31,8135,0.0,1.98,0,0.0,0,054620
2021-11-30,8135,0.0,2.16,0,0.0,0,054620
2021-12-31,8135,0.0,1.66,0,0.0,0,054620
2022-01-31,8135,0.0,1.72,0,0.0,0,054620
2022-02-28,8135,0.0,1.38,0,0.0,0,054620
2022-03-31,8135,0.0,1.49,0,0.0,0,054620
2022-04-30,8135,0.0,1.57,0,0.0,0,054620
2022-05-31,10088,11.32,1.32,1179,0.75,100,054620
2021-05-31,9041,16.76,3.22,1736,0.41,120,265520
2021-06-30,9041,16.73,3.21,1736,0.41,120,265520
2021-07-31,9041,17.97,3.45,1736,0.38,120,265520
2021-08-31,9041,17.66,3.39,1736,0.39,120,265520
2021-09-30,9041,16.53,3.17,1736,0.42,120,265520
2021-10-31,9041,14.06,2.7,1736,0.49,120,265520
2021-11-30,9041,13.68,2.63,1736,0.51,120,265520
2021-12-31,9041,12.56,2.41,1736,0.55,120,265520
2022-01-31,9041,14.49,2.78,1736,0.48,120,265520
2022-02-28,9041,13.05,2.51,1736,0.53,120,265520
2022-03-31,9041,13.02,2.5,1736,0.53,120,265520
2022-04-30,9041,13.57,2.6,1736,0.51,120,265520
2022-05-31,12713,6.13,1.9,3932,1.0,240,265520
2021-05-31,5321,0.0,2.88,0,0.46,70,211270
2021-06-30,5321,0.0,3.03,0,0.43,70,211270
2021-07-31,5321,0.0,3.32,0,0.4,70,211270
2021-08-31,5321,0.0,2.97,0,0.44,70,211270
2021-09-30,5321,0.0,2.96,0,0.44,70,211270
2021-10-31,5321,0.0,3.22,0,0.41,70,211270
2021-11-30,5321,0.0,2.47,0,0.53,70,211270
2021-12-31,5321,0.0,2.1,0,0.63,70,211270
2022-01-31,5321,0.0,2.79,0,0.47,70,211270
2022-02-28,5321,0.0,2.42,0,0.54,70,211270
2022-03-31,5321,0.0,2.59,0,0.51,70,211270
2022-04-30,5321,0.0,2.82,0,0.47,70,211270
2022-05-31,5714,163.13,2.83,99,0.43,70,211270
2021-05-31,15781,24.63,0.44,285,1.57,110,027410
2021-06-30,15781,24.74,0.45,285,1.56,110,027410
2021-07-31,15781,23.02,0.42,285,1.68,110,027410
2021-08-31,15781,21.61,0.39,285,1.79,110,027410
2021-09-30,15781,22.42,0.4,285,1.72,110,027410
2021-10-31,15781,19.93,0.36,285,1.94,110,027410
2021-11-30,15781,19.68,0.36,285,1.96,110,027410
2021-12-31,15781,17.33,0.31,285,2.23,110,027410
2022-01-31,15781,18.63,0.34,285,2.07,110,027410
2022-02-28,15781,16.86,0.3,285,2.29,110,027410
2022-03-31,15781,17.72,0.32,285,2.18,110,027410
2022-04-30,15781,18.63,0.34,285,2.07,110,027410
2022-05-31,16393,8.29,0.35,684,1.94,110,027410
2021-05-31,40317,25.55,4.5,7103,1.32,2400,282330
2021-06-30,40317,25.9,4.56,7103,1.3,2400,282330
2021-07-31,40317,23.93,4.22,7103,1.41,2400,282330
2021-08-31,40317,23.23,4.09,7103,1.45,2400,282330
2021-09-30,40317,25.41,4.48,7103,1.33,2400,282330
2021-10-31,40317,24.07,4.24,7103,1.4,2400,282330
2021-11-30,40317,23.51,4.14,7103,1.44,2400,282330
2021-12-31,40317,20.2,3.56,7103,1.67,2400,282330
2022-01-31,40317,20.2,3.56,7103,1.67,2400,282330
2022-02-28,40317,22.88,4.03,7103,1.48,2400,282330
2022-03-31,40317,22.95,4.04,7103,1.47,2400,282330
2022-04-30,40317,25.27,4.45,7103,1.34,2400,282330
2022-05-31,46849,21.29,3.88,8547,1.65,3000,282330
2021-05-31,1038,0.0,3.93,0,0.0,0,032790
2021-06-30,1038,0.0,3.93,0,0.0,0,032790
2021-07-31,1038,0.0,3.93,0,0.0,0,032790
2021-08-31,1038,0.0,3.93,0,0.0,0,032790
2021-09-30,1038,0.0,3.93,0,0.0,0,032790
2021-10-31,1038,0.0,3.93,0,0.0,0,032790
2021-11-30,1038,0.0,3.93,0,0.0,0,032790
2021-12-31,1038,0.0,3.93,0,0.0,0,032790
2022-01-31,1038,0.0,3.93,0,0.0,0,032790
2022-02-28,1038,0.0,3.93,0,0.0,0,032790
2022-03-31,1038,0.0,3.93,0,0.0,0,032790
2022-04-30,1038,0.0,3.93,0,0.0,0,032790
2022-05-31,1508,15.32,2.7,266,0.0,0,032790
2021-05-31,26781,5.31,0.3,1498,4.03,320,138930
2021-06-30,26781,5.33,0.3,1498,4.01,320,138930
2021-07-31,26781,5.11,0.29,1498,4.18,320,138930
2021-08-31,26781,5.11,0.29,1498,4.18,320,138930
2021-09-30,26781,5.26,0.29,1498,4.06,320,138930
2021-10-31,26781,5.88,0.33,1498,3.63,320,138930
2021-11-30,26781,5.83,0.33,1498,3.66,320,138930
2021-12-31,26781,5.43,0.3,1498,3.93,320,138930
2022-01-31,26781,5.6,0.31,1498,3.81,320,138930
2022-02-28,26781,5.39,0.3,1498,3.97,320,138930
2022-03-31,26781,5.07,0.28,1498,4.21,320,138930
2022-04-30,26781,5.31,0.3,1498,4.02,320,138930
2022-05-31,28745,3.37,0.27,2341,7.1,560,138930
2021-05-31,538911,19.79,0.8,21904,0.25,1100,001460
2021-06-30,538911,20.45,0.83,21904,0.25,1100,001460
2021-07-31,538911,19.01,0.77,21904,0.26,1100,001460
2021-08-31,538911,18.26,0.74,21904,0.28,1100,001460
2021-09-30,538911,18.72,0.76,21904,0.27,1100,001460
2021-10-31,538911,19.75,0.8,21904,0.25,1100,001460
2021-11-30,538911,19.79,0.8,21904,0.25,1100,001460
2021-12-31,538911,19.11,0.78,21904,0.26,1100,001460
2022-01-31,538911,20.82,0.85,21904,0.24,1100,001460
2022-02-28,538911,20.89,0.85,21904,0.24,1100,001460
