,symbol,market,name,sector,industry,listingdate,settlemonth,representative,homepage,region,close,cap,volume,amount,shares_num,BPS,PER,PBR,EPS,DIV,DPS
0,060310,KOSDAQ,3S,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,김세완,http://www.3sref.com,서울특별시,3370,155934998810,5350117,18548419165,46271513,792,210.63,4.26,16,0.0,0
1,095570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,"박대현, 손삼달",http://www.ajnet.co.kr,서울특별시,6960,325883173200,54614,382025640,46822295,8075,4.08,0.86,1707,3.88,270
2,006840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시,20500,271575000500,21199,431935950,13247561,45961,0.0,0.45,0,0.98,200
3,054620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도,11600,236572963600,24112,281748400,20394221,10088,9.84,1.15,1179,0.86,100
4,265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도,22100,337719404100,58104,1283889250,15281421,12713,5.62,1.74,3932,1.09,240
5,211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시,17000,256399168000,202054,3442470050,15082304,5714,171.72,2.98,99,0.41,70
6,027410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,5190,496770145290,43344,224013720,95716791,16393,7.59,0.32,684,2.12,110
7,282330,KOSPI,BGF리테일,종합 소매업,체인화 편의점,2017-12-08,12월,이건준,http://www.bgfretail.com,서울특별시,185500,3206164563000,19987,3723823000,17283906,46849,21.7,3.96,8547,1.62,3000
8,032790,KOSDAQ,BNGT,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기",1997-06-26,12월,조상환,http://www.mgenplus.com,서울특별시,4075,120352455875,0,0,29534345,1508,15.32,2.7,266,0.0,0
9,138930,KOSPI,BNK금융지주,기타 금융업,금융지주회사,2011-03-30,12월,김지완,http://www.bnkfg.com,부산광역시,7890,2571629090940,584635,4617000430,325935246,28745,3.37,0.27,2341,7.1,560
10,001460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시,439000,274205985000,474,212253000,624615,577324,12.27,0.76,35764,0.34,1500
11,013720,KOSDAQ,CBI,자동차 신품 부품 제조업,엔진부품,1993-12-29,12월,오경원,http://www.cheongbo.co.kr,인천광역시,1950,131937062400,235760,455567900,67660032,545,0.0,3.58,0,0.0,0
12,001040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,84200,2456703231600,45794,3860207500,29176998,151085,10.27,0.56,8197,2.73,2300
13,079160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시,28000,1143660728000,2050132,57277026550,40845026,5520,0.0,5.07,0,0.0,0
